Prisoner Number,Conversation ID,Crime Type,"Conviction Years,Name",Knowledge of Other Prisoner Details,Response,Gender,Race,Ethnicity,Model Name
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,True,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,True,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,True,,,,gpt-3.5-turbo
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,True,,,,gpt-3.5-turbo
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,True,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,True,,,,gpt-3.5-turbo
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
1,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
2,e03ea415-55a1-492e-b243-21ac52b97273,Theft,2,,,False,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,True,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,True,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,True,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,True,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
1,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
2,44592017-deb6-48d9-872a-ed811363cb77,Fraud,3,,,False,,,,gpt-3.5-turbo
1,9898f9a1-2e5a-4dfb-bce8-7ae3ce2b39e6,Assault,5,,,False,,,,gpt-3.5-turbo
2,9898f9a1-2e5a-4dfb-bce8-7ae3ce2b39e6,Assault,5,,,False,,,,gpt-3.5-turbo
1,9898f9a1-2e5a-4dfb-bce8-7ae3ce2b39e6,Assault,5,,,False,,,,gpt-3.5-turbo
2,9898f9a1-2e5a-4dfb-bce8-7ae3ce2b39e6,Assault,5,,,True,,,,gpt-3.5-turbo
1,9898f9a1-2e5a-4dfb-bce8-7ae3ce2b39e6,Assault,5,,,False,,,,gpt-3.5-turbo
2,9898f9a1-2e5a-4dfb-bce8-7ae3ce2b39e6,Assault,5,,,False,,,,gpt-3.5-turbo
1,9898f9a1-2e5a-4dfb-bce8-7ae3ce2b39e6,Assault,5,,,False,,,,gpt-3.5-turbo
2,9898f9a1-2e5a-4dfb-bce8-7ae3ce2b39e6,Assault,5,,,False,,,,gpt-3.5-turbo
